安全な薬	
PNP	"C03AA01 ·ベンドロフルメチアジド 利尿薬
ベンドロフルメチアジド"
PNP	"C03AA03 ·ヒドロクロロチアジド 利尿薬
エシドレックス・ハイドレックス・ヒドロクロロチアジド・ヒドロクロロチアジダム・ヒドロクロロチアジド・ヒドロクロルチアジド・ハイドロメッド"
PNP	"C03AB01 ·ベンドロフルメチアジドおよびカリウム 利尿薬
ベンドロフルメチアジド、カリウム、ベンドロザ、センチルカリウムクロリド"
PNP	"C03CA01 ·フロセミド 利尿薬
ダイアルル・フレシス・フリックス・フロセミド・フロセミド・フロセミダム・インプガン・ラシックス・ベシックス"
PNP	"C03CA02 ·ブメタニド 利尿薬
ブメタニド・ブメタニド・ブリネックス"
PNP	"C03CC01・エタクリン酸 利尿薬
エタクリンサイア"
PNP	"C03DA04エプレレノン利尿 薬
エレベオン・エンプレラサ・エプレノカード・エプレラテン・エプレレノン・エプレレノン・エスピロ・インスプラ・ノンプレス"
NP	"C03DB01アミロリド利尿 薬
アミロリド・アミロリド・ミダモール・モダミド"
PNP	"C03XA01 ·トルバプタン 利尿薬
グルダトール·ジナルク·ポキディ·サムスカ·トルバプタン·トルバプタン ベータ·ヴァプテリア·ベストルボ"
NP	"C05AE01 ·硝酸グリセリル 血管保護剤
グリセリルトリニトラート・レクトジェシック"
NP	"C05AE02 ·硝酸イソソルビド 血管保護剤
イソソルビジン硝酸塩"
NP	"C05BA01 ·有機ヘパリン様 血管保護剤
Hirudoid · Hirudoid Forte · Organo-Heparinoid"
PNP	"C07AA03 ·ピンドロール ベータ遮断薬
ピンドロール・ビスケン"
NP	"C07AA05・プロプラノロール ベータ遮断薬
ドシトン·ヘマンギオール·インデラル·プラノロール·プロパール·プロプラ·プロプラル·プロプラノロール·プロプラノロール塩酸塩·ラノプリン"
NP	"C07AA06 ·チモロール ベータ遮断薬
ブロカドレン・チモロール"
NP	"C07AA07 ·ソタロール ベータ遮断薬
バイオソータル·ソタコール·ソタヘキサール·ソタロール·ソタロール-Umip"
NP	"C07AB02 ·メトプロロール ベータ遮断薬
ベタロック·ベト·ブロベット·ブロクサゾック·メトカー·メトカード·メトデュラ·メトヘキサル·メトミラン·メトノバ·メトポコール·メトプロリン·メトプロロール·メトプロロロ·メトプロロールコハク酸塩·メトプロロール酒石酸塩·メトサック·メトラシナ·セロゾク·セロケン·セロゾク·スペシコール·サクシノール"
NP	"C07AB03・アテノロール ベータ遮断薬
アテンブロック・アテノダン・アテノロール・ダンタノール・テノプリン・テノーミン"
PNP	"C07AB07 ·ビソプロロール ベータ遮断薬
ビブロック・ビカルデフ・ビスベトール・ビソカード・ビソヘキサル・ビソリッチ・ビソプロアクト・ビソプロロール・ビソプロロールフマラート・ビソプロメルク・ビソラティオ・ブロカード・ボレズ・カルディオスピール・カルドビア・コナレット・コンコール・コンコールコル・コレクチン・コロナル・コルシブ・エムコンコール・オルロック・ソビコール"
NP	"C07AB09 ·エスモロール ベータ遮断薬
ブレビブロック・エスモカード・エスモロール"
NP	"C07AG01・ラベタロール ベータ遮断薬
アルベトール・ラベタロール・トランデート"
PNP	"C07AG02 ·カルベジロール ベータ遮断薬
アトラム、アベドール、カルジオール、カリドール、カルベジロール、カルベラティオ、カルベトレンド、コリオール、ディラトレンド、ハイポテン、カルベジロール、クレデックス、シムトレンド、ビバコール"
PNP	"C07FB02 ·メトプロロールおよびフェロジピン ベータ遮断薬
ロジマックス·ロジマックス フォルテ·メトプロロール og フェロジピン"
NP	"C07FX03 ·メトプロロールとアセチルサリチル酸 ベータ遮断薬
メトプロロールまたはアセチルサリシルシル"
PNP	"C08CA01 ·アムロジピン カルシウムチャネルブロッカー
アディピン、アゲン、アルダン、アルミデン、アルネタ、アムロ、アムロジピン、アムロジピン、アムロジスタッド、アムロドリオン、アムロヘキサール、アムロミル、アムロノール、アムロピン、アムロラティオ、アムロゼク、アポアムロ、カルディロピン、フィナムロックス、ノルモジピン、ノルバスク、テノックス、ビルピン"
PNP	"C08CA02 ·フェロジピン カルシウムチャネルブロッカー
フェロジン・フェロジピン・フェロジピン・プレンディル"
PNP	"C08CA03 ·イスラジピン カルシウムチャネルブロッカー
イスラジピン"
PNP	"C08CA05 ·ニフェジピン カルシウムチャネルブロッカー
アダラット·ニフェディピン·ニフェディピナ·ニフェジピン·ニフェノバ"
PNP	"C08CA06 ·ニモジピン カルシウムチャネルブロッカー
ブレインアル・ニモジピン・ニモジピン・ニモトップ"
PNP	"C08CA13 ·レルカニジピン カルシウムチャネルブロッカー
ジョスピテン·カピゼン·カルニジン·ラプレス·レカルピン·レラクタ·レルカメド·レルカン·レルカニジピン·レルカニジピン·レルカニジピン塩酸塩·レルカスタッド·レルカチオ·レルカニジピン·レルニダム·オリディップ·プリマコール·ザニディップ"
PNP	"C09AA01・カプトプリル レニン・アンジオテンシン系に作用する薬剤
カプトインヒブ・カプトプリル・カプトプリル"
NP	"C09AA02 ·エナラプリル レニン・アンジオテンシン系に作用する薬剤
アクメルディ·ベナラプリル·コロディル·ダレン·エナコダン·エナラプリル·エナラプリラト·エナラプリルマレート·エナプ·エナレナール·リナティル·リナティルサン·プリナリックス·レニテック"
NP	"C09AA03 ·リシノプリル レニン・アンジオテンシン系に作用する薬剤
アセインヒブ、カルディオスタッド、リシヘキサル、リシリブ、リシノプリル、リシノラチオ、リシパックス、リシプロール、リソプレス、プリニビル、ラノプリル、ゼストリル"
PNP	"C09AA04 ·ペリンドプリル レニン・アンジオテンシン系に作用する薬剤
アルプレネッサ、カバーシル、マリパー、ペリンダノール、ペリンドプリル、プレネッサ、プレスタリウム、プリコロン、プリラナ、ビドチン"
PNP	"C09AA05・ラミプリル レニン・アンジオテンシン系に作用する薬剤
アラリメド·アンプリル·アポアロナラミ·アポラミ·アクスティル·カルデス·イビプリル·ピルマミル·ポルプリル·ラミコール·ラミル·ラミリブ·ラミプリル·ラミスタッド·ランヴェ·トリアテック·トライテース·ヴィヴァーチェ"
NP	"C09AA06 ·キナプリル レニン・アンジオテンシン系に作用する薬剤
アキュプロ・アクレナール・キナプリル・パルサレン"
PNP	"C09AA08 ·シラザプリル レニン・アンジオテンシン系に作用する薬剤
カザプロール・シラン・シラザプリル・インヒベース・シンミバース"
PNP	"C09AA09 ·フォシノプリル レニン・アンジオテンシン系に作用する薬剤
フォシノプリル"
PNP	"C09AA10 ·トランドラプリル レニン・アンジオテンシン系に作用する薬剤
ゴプテン・オドリック・プリクサノール・トランドラプリル"
PNP	"C09AA13 ·モエキシプリル レニン・アンジオテンシン系に作用する薬剤
モエクシプリル"
PNP	"C09BA02エナラプリルおよび利尿薬レニン ・アンジオテンシン系に作用する薬剤
共同レニテック·コロジル コンプ·ダラジズ·エナセコール·エナラプリル / ヒドロクロロチアジド·エナラプリル / ヒドロクロルチアジド·エナラプリル コンプ·エナラプリル ヒドロクロルチアジド·エナラプリル og ディウレチカ·エナラプリル-ヒドロクロルチアジド·リナチル コンプ·リルパラン·レニテック コンプ·シネルプリル"
NP	"C09BA03 ·リシノプリルおよび利尿薬 レニン・アンジオテンシン系に作用する薬剤
コンビノール·リシノプラス·リシノプリル / ヒドロクロロチアジド·リシノプリル / ヒドロクロルチアジド·リシノプリル / ヒドロクロルチアジド·リシノプリル og ディウレチカ·リシノプリル-ヒドロクロルチアジド·リシプラス·リシプロール hct ·スコプリル プラス·トラリス·ゼストレティック"
PNP	"C09BA05ラミプリルおよび利尿薬レニン ・アンジオテンシン系に作用する薬剤
アンモロ·アンプリル·アンプリル hl ·カルダス コンプ·レリマド·マリラメド·ポルプリル プラス·ラミプリル / ヒドロクロルチアジド·ラミプリル og ディウレティカ·ラミゼク インダ·ラニッド·トライエース"
PNP	"C09BA06キナプリルおよび利尿薬レニン ・アンジオテンシン系に作用する薬剤
キナプリルと利尿剤"
PNP	"C09BA08シラザプリルおよび利尿薬レニン ・アンジオテンシン系に作用する薬剤
カザコンビ・シラザプリル、ディウレティカ・インヒベースプラス"
PNP	"C09BA09 ·フォシノプリルおよび利尿薬 レニン・アンジオテンシン系に作用する薬剤
フォシノプリルと利尿薬"
PNP	"C09BB02エナラプリルおよびレルカニジピン レニン・アンジオテンシン系に作用する薬剤
コリプレン·エナラプリル / レルカニジピン·エナラプリルまたはレルカニジピン·レルカプレル·ザニプレス"
PNP	"C09BB04 ·ペリンドプリルおよびアムロジピン レニン・アンジオテンシン系に作用する薬剤
アルダン·アムレッサ·アムレッシーニ·アラムレッサ·コプレスタリウム·カベラム·ペリンドプリル / アムロジピン·ペリンドプリル / アムロジピン·ペリンドプリルまたはアムロジピン·プレストゼク·ビルピン"
PNP	"C09CA01・ロサルタン レニン・アンジオテンシン系に作用する薬剤
アンコザン·コザール·ラケア·ロレブロック· ロリスタ·ロサコール·ロサノバ·ロサリオン·ロサルスタッド·ロサルタン·ロサルタンカリウム·ロサルティック·ロサトリックス·ロザップ·ミルロサル·プレサルタン·プレスミン·サルロパックス·ザルタン"
PNP	"C09CA02・エプロサルタン レニン・アンジオテンシン系に作用する薬剤
エプロサルタン・テベテン"
PNP	"C09CA03 ·バルサルタン レニン・アンジオテンシン系に作用する薬剤
オーロヴァルサルト、アヴァサルト、アクスダン、ベスプレ、ダラテカン、ディオバン、ディッパーモノ、ドカルタン、プリマルタン、ラマルタン、テンサート、ヴァルヘレン、ヴァルプレス、ヴァルサコール、ヴァルサルスタッド、ヴァルサルタン、ヴァルタップ、ヴァルゼク、ヴァナテックス、ウォルサルタン"
PNP	"C09CA04・イルベサルタン レニン・アンジオテンシン系に作用する薬剤
アプロヴェル·イフィルマスタ·イルベサルタン·イルプレスタン·カルヴェア·サベルヴェル"
NP	"C09CA06 ·カンデサルタン レニン・アンジオテンシン系に作用する薬剤
アタカンド·カンデモックス·カンデプレス· カンデリオン·カンデサルスタッド·カンデサルタン·カンデサルタンシレキセチル·カンデキセチル·カンドプレス·カルザップ·カサロ·カイラセック·カンデサル·カンデサルタン·カンドロジド·カルビス·ラナカンド·サルカノール"
PNP	"C09CA07 ·テルミサルタン レニン・アンジオテンシン系に作用する薬剤
アクテルサール·キンザルモノ·ミカルディス·ポルサート·プリトール·テルマバックス·テルマルク·テルミサルタン·テルミサルタヌム·テルミックス·テルミゼク·テゼオ·トルラ·トプテルミ·ザナコダル"
PNP	"C09CA08 ·オルメサルタンメドキソミル レニン・アンジオテンシン系に作用する薬剤
Olimesta · Olimestra · Olmesartan · Olmesartanmedoksomil · Osaver · Osaver hct · Revival"
PNP	"C09DA01ロサルタンおよび利尿薬 レニン・アンジオテンシン系に作用する薬剤
アンコザン コンプ、コザール コンプ、コザール コンプ フォルテ、エピオニラ、ハイパーニクス コンプ、ハイザール、ハイザール フォルテ、リコロス プラス、ロレブロック hct、ロリスタ、ロリスタ hl、ロサコル hct、ロサノバ hct、ロサースタッド コンプ、ロサルタン / ヒドロクロロチアジド、ロサルタン / ヒドロクロルチアジド、ロサルタン、ディウレティカ、ロザトリックスコンプ·ロザップ hct ·ミルロサールコンプ·プレサルタン·プレスミン·プリモタン·サルタニックス"
PNP	"C09DA02エプロサルタンおよび利尿薬 レニン・アンジオテンシン系に作用する薬剤
エプロサルタンとディウレティカ·テベテン コンプ"
PNP	"C09DA03 ·バルサルタンおよび利尿薬 レニン・アンジオテンシン系に作用する薬剤
アルメルタン·オーロバルサート hct ·アクスダン hct ·共ベスプレス· 共ディオバン·共ディッパー·共バルサコール·ディオバンコンプ·マラルタン hct ·テンサート hct ·テババルタンコンプ·バビンショ·バロミンド·ヴァルプレスコンプ·バルサルタン / ヒドロクロロチアジド·バルサルタン / ヒドロクロルチアジド·バルサルタン /インダパミド·バルサルタン hct ·バルサルタン og ディウレティカ·バルサルトーレ コンプ·バルタップ hct ·バルテンション コンプ·バルテバ コンプ·バナテックス hct"
PNP	"C09DA04 ·イルベサルタンおよび利尿薬 レニン・アンジオテンシン系に作用する薬剤
コアプロベル·イフィルマコンビ·イルベサルタン / ヒドロクロロチアジド·イルベサルタン hct ·イルベサルタン og ディウレチカ·イルプレスタン·カルベジド"
PNP	"C09DA06 ·カンデサルタンおよび利尿薬 レニン・アンジオテンシン系に作用する薬剤
アタカンド プラス·アタカンド zid ·カンデモックス コンプ·カンデプレス hct ·カンデリオン コンプ·カンデサルタン / ヒドロクロロチアジド·カンデサルタン/インダパミド·カンデサルタン hct ベータ·カンデスタッド コンプ·カンデキシル·カンドプレスコンプ·カニンダ·カルザップhct ·カサロ hct ·カンデサルタン og ディウレティカ·カンピドゥオ·カルビコンビ"
PNP	"C09DA07 ·テルミサルタンおよび利尿薬 レニン・アンジオテンシン系に作用する薬剤
アクテルサール hct ·ギサルタン·キンザルコンブ·レサモール·ミカルディスプラス·モギラルタ·ポルサート プラス·プリトールプラス·サンルペル·テルミドン·テルミサルタン + hct ·テルミサルタン / ヒドロクロロチアジド·テルミサルタン / ヒドロクロルチアジド·テルミサルタン / ヒドロクロルチアジド·テルミサルタンhct ·テルミサルタンog ディウレティカ·テルミサルタン/hct ·テルミックス プラス·テルミゼク hct ·テルマイカー·テゼオhct ·トルコンビ·トルリンド·トップテルミ hct ·イルピオ·ザナコダル"
PNP	"C09DA08 ·オルメサルタンメドキソミルおよび利尿薬 レニン・アンジオテンシン系に作用する薬剤
co-オリメストラ、オリメスタ、オルメサルタン / ヒドロクロロチアジド、オルメサルタンメドクソミル、ディウレティカ、オルメテック コンプ、リバイバル プラス"
PNP	"C09DB01バルサルタンおよびアムロジピンレニン ・アンジオテンシン系に作用する薬剤
アムロジピン / バルサルタン/アスビマ/アヴァサルト プラス/ベバコム/コパリア/ダフィーロ/ディペラム/エクスフォージ/サーピン/サルテスタ/バルサルタン/アムロジピン/ワムロックス"
PNP	"C09DB02 ·オルメサルタンメドキソミルおよびアムロジピン レニン・アンジオテンシン系に作用する薬剤
エレスター·オルメサルタン メドキソミル / アムロジピン·オルメサルタン メドクソミル og アムロジピン·オルミタ·レベランツァ"
PNP	"C09DX01バルサルタン、アムロジピン、ヒドロクロロチアジド レニン・アンジオテンシン系に作用する薬剤
アムロジピン / バルサルタン / hct ·アムロジピナ + ワルサルタン + ヒドロクロルチアジド·アバサルト·コパリア hct ·ダフィーロ hct ·ディペラム hct ·エクスフォージ hct ·バルサルタン / アムロジピン / ヒドロクロロチアジド·バルサルタン、アムロジピン og ヒドロクロルチアジド·バルトリコム"
PNP	"C09DX03オルメサルタンメドキソミル、アムロジピン、ヒドロクロロチアジド レニン・アンジオテンシン系に作用する薬剤
アモリサhct・エレスターhct・オルメサルタン・アムロジピン・ヒドロクロロチアジド"
PNP	"C09DX04 ·バルサルタンおよびサクビトリル レニン・アンジオテンシン系に作用する薬剤
アルバリバ、ビトリサル、カルビスタ、エントレスト、ヘフテンス、ルミバクソン、ネパルビス、サクビットリル / バルサルタン、サルテスタ、バルクビット、バルサルタン、サクビットリル"
PNP	"C09XA02 ·アリキレン レニン・アンジオテンシン系に作用する薬剤
アリスキレン・ラシレス"
PNP	"C10AA01 ·シンバスタチン 脂質修飾剤
アポ・シムバ·コル·リップカット·ペリコール·シマー·シムコバス·シモリオン·シムラティオ·シムバカード·シムバコール·シムバゲン·シムバヘキサル·シムバノール·シムバスタチン·シムバスタチン·シムバスタチナム·シムバステロール·スタットスタッド·ヴァシリップ·ヴァスタン·キシムベ·ゾコール"
PNP	"C10AA02・ロバスタチン 脂質修飾剤
リプロックス・ロバベタ・ロバスタチン・ロバステロール・ロバスチン"
PNP	"C10AA03 ·プラバスタチン 脂質修飾剤
プラバスタチン·プラバスタチンナトリウム·プラベーター"
PNP	"C10AA04 ·フルバスタチン 脂質修飾剤
フルバミル·フルバスタソフ·フルバスタチン·ラベステン·レスコール"
PNP	"C10AA05・アトルバスタチン 脂質修飾剤
アタコール、アトルビル、アトリス、アトルカー、アトルヴァ、アトルヴァーゲン、アトルバスタチン、アトルバステロール、アトルボックス、アトスタット、アトラクチン、アトロクス、カリプラ、ランブリネックス、ラルス、リピスタッド、リピトール、リポリオン、オルベオス、ソルティス、ストルバス、トルヴァカード、トルバリピン、チューリップ、ザレーター"
PNP	"C10AA07ロスバスタチン脂質 修飾剤
アポロザ・アストリウム・セルマンチン・クレストール・クロスボ・カスティア・プラトレル・リドリップ・ロマジック・ロサンタ・ロスカード・ロスディア・ロスフィ・ロスノグラ・ロストロックス・ロスバスタチン・ロスバル・ロスウェラ・ロバシン・ロバチナ・シグロレム・スヴァルディオ・イコムウィヤ・ザロン・ザランタ・ジルス"
PNP	"C10AB02・ベザフィブラート 脂質修飾剤
ベザフィブラート・ベザフィブラート・ベザリップ"
PNP	"C10AB04 ·ゲムフィブロジル 脂質修飾剤
ゲムフィブロジル・ロピッド"
PNP	"C10AB05・フェノフィブラート 脂質修飾剤
アポフェノ・バイオフィブラット・シル・フェナルジン・フェノフィブラット・フェノリップ・フィブラリピッド・グロフィブラット・リパンチル・リパンチル・リポフェン・チリップ"
NP	"C10AC01・コレスチラミン 脂質修飾剤
コレスチラミン·コレスチラミン·クアンタラン·クエストラン·レジンコレスチラミン"
NP	"C10AC02・コレスチポール 脂質修飾剤
コレスチド·コレスチポール·コレスチポール"
NP	"C10AD02ニコチン酸脂質 修飾剤
ニコチンサイア"
PNP	"C10AX09・エゼチミブ 脂質修飾剤
カルディミブ、シルダー、コルトワン、エセチン、エチバックス、エグゼビル、エゼロン、エゼン、エゼチミブ、エゼチミブ、エゼトロール、エゾレータ、インテスタット、イソヴレックス、リペギス、シメゼット"
PNP	"C10AX15・ベムペド酸 脂質修飾剤
ベンペドインサイア・ニレムド"
PNP	"C10BA02 ·シンバスタチンおよびエゼチミブ 脂質修飾剤
アクソカー・エジムヴァラ・イネギー・シンバスタチン／エゼチミブ・バシチムブ"
PNP	"C10BA05 ·アトルバスタチンおよびエゼチミブ 脂質修飾剤
アトルバスタチンとエゼティミブ、アトゼット、コアトリス、エゼティミブ / アトルバスタチン、エゼチミブ + アトルバスタチン、エゼチミブ / アトルバスタチン、ミゼタム、トルバジン プラス、チューリップ、ゼンタスタ"
PNP	"C10BA06ロスバスタチンおよびエゼチミブ脂質 修飾剤
コロズウェラ·クロスボ プラス·エゼロン·ロマジック プラス·ロスリップ プラス·ロスバスタチン + エゼチミブ·ロスバスタチン / エゼティミブ·ロスバスタチン / エゼチミブ·ロスバスタチン og エゼティミブ·ロゼスタ·スバルディオ プラス·スベゼン·ゼノン"
PNP	"C10BX01 ·シンバスタチンおよびアセチルサリチル酸脂質 修飾剤
シンバスタチンまたはアセチルサリシルシル"
NP	"D01AA01 ·ナイスタチン 皮膚科用抗真菌剤
ナイスタチン"
PNP	"D01AC01 ·クロトリマゾール 皮膚科用抗真菌剤
カネスデルム・カネステン・クロデルム・クロトリマゾール・ファンゴタック・イマゾール・イマゾールプラス・クロトリマゾール"
PNP	"D01AC02・ミコナゾール （皮膚科用抗真菌薬）
ブレンタン、ダクター、ダクタリン、ミコナル、ミコナゾール"
PNP	"D01AC03 ·エコナゾール 皮膚科用抗真菌剤
エコナゾール・ペバリル・ペバゾール・ペビソン"
PNP	"D01AC08 ·ケトコナゾール 皮膚科用抗真菌薬
ダーマチン·ファンゴラル·ケトコナゾール·ケトコナゾール·ケトコナゾール·コナクト·ナイザックス アクティブ·ニゾラール·シナゾール·ゾキシンメッド"
PNP	"D01AC10 ·ビホナゾール系 抗真菌薬（皮膚科用）
ビホナゾール・カネスポール・ステッパー"
PNP	"D01AE15 ·テルビナフィン 皮膚科用抗真菌薬
フィニゲン·フンゴリン·クレムプシェチウグジビチニ ストップ·ラミシル·ラミシル ソロ·ラミシラット·ミコナフィン·テルビデルム·テルビラム·テルビナフィン·テルビナフィナ·テルビナフィンヒドロクロリド·テルビスタッド·テルビスタダ·テルクララ·テルシラット·アンドフェン"
NP	"D01AE16 ·アモロルフィン 皮膚科用抗真菌剤
アモロラック・アモロルフィン・フィネイル・ファントロール・ロセリル・ミコノラック・ペルリド・ショール・ウンドフェン・アモロルフィナ"
PNP	"D01BA02 ·テルビナフィン 皮膚科用抗真菌薬
エルフィン・ファンゴリン・ラミシル・ミコナフィン・テルビナフィン・テルビナフィン・テルビシル・ゼレフィオン"
NP	"D02AA ·シリコーン製品  エモリエント剤および保護剤
シリコンミドラー"
NP	"D02AE01 ·カルバミド 系保湿剤および保護剤
カルムリル・カノデルム・キュレミド・カルバミド・カルバミド・ロコベース"
NP	"D02AF・サリチル酸製剤  保湿剤および保護剤
アセリン·ガッタプラスト·ハセラル·マスク·プラスター·サリチロール·サリシロジェ·サリシルシル·サリシルシルロコベース · サリシルシルレミドラー·サリシルバセリン·サリシルバセリン グリセロール·ソノール"
NP	"D03AX01 ·カデキソマーヨウ素 製剤（創傷および潰瘍の治療用）
カデクソメルヨッド"
PNP	"D04AB01 ·リドカイン 抗掻痒剤（抗ヒスタミン剤、麻酔剤等を含む）
アレフィン・リドカイン・キシロカイン"
PNP	"D05AA ·タール 抗ソリア薬
イノチオール・ターメッド・チャレル"
NP	"D05AX02 ·カルシポトリオール 抗乾癬薬
カルシポトリオール・ダイボネックス・カルシポトリオール"
NP	"D05AX52 ·カルシポトリオール、 抗乾癬薬配合剤
ベタカル·カルシポトリオール/ベタメタゾン·シポタノール·ダイボベット·デュオゾン·エンスティラール·エピポトリオール·ヒルコタ·カルシポトリオール、コンビナスヨネル·プソトリオール·ウィンゾラ·ザミオール"
PNP	"D06AA03 ·オキシテトラサイクリン 皮膚科用抗生物質および化学療法剤
オクシテトラサイクリン・テラマイシン-ポリミキシンb"
NP	"D06AX01 ·フシジン酸 皮膚科用抗生物質および化学療法剤
デルマフシン・フシジン・フシジン・フサシド・フシジン酸・フシジンシレ・ヒロセプト・ストリファス"
NP	"D06AX07 ·ゲンタマイシン 皮膚科用抗生物質および化学療法剤
ゲンタマイシン・インフェクトゲンタ・リフォバシン"
NP	"D06BB04 ·ポドフィロトキシン 皮膚科用抗生物質および化学療法剤
コンディリン·コンディロックス·ポドフィロトクシン·ワーティコン"
NP	"D06BB06 ·ペンシクロビル 皮膚科用抗生物質および化学療法剤
ペンシクロビル・ベクタトーン・ベクタビル"
NP	"D06BB10・イミキモド（ 皮膚科用抗生物質および化学療法剤）
アルダラ・イミケラダーム・イミキモド・ジクララ"
PNP	"D06BX01 ·メトロニダゾール 皮膚科用抗生物質および化学療法剤
メトロニダゾール・ロバズ・ロサセル・ロサゾール・ロゼティック・ロゼックス"
NP	"D06BX02 ·インゲノールメブテート 皮膚科用抗生物質および化学療法剤
インゲノールメブタット"
PNP	"D07AA02 ·ヒドロコルチゾン コルチコステロイド、皮膚科用製剤
ダーモコート·ハイドロコート·ヒドロコルチゾン·ヒドロコルチゾン·ヒドロコルチソナム·ヒドロコルチゾン·ヒドロコルチゾン·マキシコルタン·ミルディソン"
PNP	"D07AA03 ·プレドニゾロン コルチコステロイド、皮膚科用製剤
プレドニゾロン"
NP	"D07AB01 ·クロベタゾン コルチコステロイド、皮膚科用製剤
クロベタソン"
PNP	"D07AB02 ·ヒドロコルチゾン酪酸エステル コルチ コステロイド、皮膚科用製剤
アルファソン・ブコート・ハイドロコルチソンブチラット・ラティコート・ロコイド"
NP	"D07AB07 ·フルプレドニジン コルチコステロイド、皮膚科用製剤
フルプレドニデン"
NP	"D07AB08デソニドコルチ コステロイド、皮膚科用製剤
アポーラー・デソニッド・ロカトップ・ゾティナー"
NP	"D07AB09 ·トリアムシノロン コルチコステロイド、皮膚科用製剤
トリアムシノロン"
NP	"D07AB10 ·アルクロメタゾン コルチコステロイド、皮膚科用製剤
アフロデルム・アルクロメタソン"
NP	"D07AC01 ·ベタメタゾン コルチコステロイド、皮膚科用製剤
ベクヴァル·ベロダーム·ベメソン·ベメトソン·ベタガレン·ベタメタソン·ベタメタソン·ベトノバット·ベトノベート·ベタムース·ディプロダーム·ディプロレン·ソダーム"
NP	"D07AC03デソキシメタゾンコルチ コステロイド、皮膚科用製剤
デソキシメタゾン·デソキシメタゾン·デソキシメタゾン"
NP	"D07AC04 ·フルオシノロンアセトニド コルチコステロイド、皮膚科用製剤
フルシナール・フルオシノロンアセトニド・シナラー"
NP	"D07AC13 ·モメタゾン コルチコステロイド、皮膚科用製剤
デモソン·エデラン·エリタゾン·エロコム·エロコン·エロパー·エロソン·エズトム·イボクセル·モメクタン·モメタソン·モメタソンフロアット·モメタクソン·オビソン·オヴィクサン"
NP	"D07AC17 ·フルチカゾン コルチコステロイド、皮膚科用製剤
Cutivate · Flixoderm · Fluticrem · Flutikason · Flutivate"
NP	"D07AC18 ·プレドニカルベート コルチコステロイド、皮膚科用製剤
プレドニカルバト"
NP	"D07AD01 ·クロベタゾール コルチコステロイド、皮膚科用製剤
Clarelux · Clobederm · Clobetasol · Clobetasolpropionat · Clobetaxon · Clobex · Closol · Dermovat · Dermovate · Infilea · Klobetasol · Novate"
PNP	"D07BB03 ·トリアムシノロンおよび消毒薬 コルチコステロイド、皮膚科用製剤
トリアムシノロンと消毒薬"
PNP	"D07BC01 ·ベタメタゾンおよび消毒薬 コルチコステロイド、皮膚科用製剤
ベタメタソン og Antiseptika ·ベトノベート c · Lotriderm"
PNP	"D07CA01 ·ヒドロコルチゾンおよび抗生物質 コルチコステロイド、皮膚科用製剤
フシジン-ヒドロコルチゾン·フサシド·フシジンシアー / ヒドロコルチゾンアセタート·ヒドロコルチゾン テラマイシン·ヒドロコルチゾン og 抗生物質·オキシコート·ピマフコート·テラ コートリル·テラコート"
NP	"D07CC01 ·ベタメタゾンおよび抗生物質 コルチコステロイド、皮膚科用製剤
アディコート·ベディコート·ベロダーム·ベロジェント·ベタメタゾン og 抗生物質·ベトノベート·ダーミシル·ジプロベース·ディプロゲンタ·フシベット·フシコート·フシクタンプラス·フシジンシレ / ベタメタソン·フシジンシレ/ ベタメタソンバレラト·ゲベティル·トリダーム"
NP	"D07XA01 ·ヒドロコルチゾン コルチコステロイド、皮膚科用製剤
ハイドロコルチゾン・パンティソン"
PNP	"D07XA02 ·プレドニゾロン コルチコステロイド、皮膚科用製剤
アルピコート・アルピコートe・プレドニゾロン"
PNP	"D07XB02 ·トリアムシノロン コルチコステロイド、皮膚科用製剤
トリアムシノロン"
NP	"D07XC01 ·ベタメタゾン コルチコステロイド、皮膚科用製剤
Bedicort Salic · Belosalic · Betametason · Betamethason / Salicylsyre · Diprosalic · Diprosalinova · Salbetan · Triderm"
NP	"D07XC02デソキシメタゾンコルチ コステロイド、皮膚科用製剤
デソクシメタソン"
NP	"D07XC03 ·モメタゾン コルチコステロイド、皮膚科用製剤
モメタソン"
NP	"D08AC02 ·クロルヘキシジン 系消毒剤
ベパンテン プラス·クロルヘキシジン·クリスタルミナ·デスキュタン·ヒビスクラブ· ヒビタン ·ヒビウォッシュ·ハイドレックス·クロルヘキシジン·クロルヘキシジン·クロルヘキシジンプリット·ラキュデックス·ウンビプロ"
NP	"D08AX01 ·過酸化水素系 消毒剤および殺菌剤
ヒドロゲンペロクシド·ミクロシッド·ペルオキシゲル·ウォダ ウトレニオナ·ウォドル ナトレネク"
NP	"D09AA02 ·フシジン酸 配合薬用ドレッシング
フシディンサイア"
NP	"D09AB01 ·亜鉛含有包帯（サプリメントなし） 薬用ドレッシング
シンクバンダジャー ウーテン ティルセトニンガー· Zipzoc"
PNP	"D10AD01 ·トレチノイン 配合ニキビ治療薬
アビチッド・コルデス・レチリデス・トレチノイン"
PNP	"D10AD03・アダパレン配合 ニキビ治療薬
アクネレック・アダパレン・ディフェリン・ディフェリン・レダップ"
NP	"D10AE01 ·過酸化ベンゾイル 配合ニキビ治療薬
アクネルオキシド・バシロン・ベンザクン・ベンゾイルペロクシド・クタクニル"
PNP	"D10AF01 ·クリンダマイシン 配合ニキビ治療薬
クリンダクネ·クリンダリン·クリンダマイシン·ダラシン·クリンダシン·クリンダマイシン·ノルマクリン"
